product_id,product_name,review,rating
P001,Blue Slim Fit Jeans,"The size is completely wrong, ordered medium but it fits like a small. Very disappointed.",2
P001,Blue Slim Fit Jeans,"Color faded after first wash. Expected much better quality for this price.",1
P001,Blue Slim Fit Jeans,"Stitching came apart within a week. Returning immediately.",1
P002,Floral Summer Dress,"Beautiful dress but the material is too thin and see-through. Not what I expected.",3
P002,Floral Summer Dress,"Sizing runs very small. I normally wear L but had to return for XL.",2
P003,White Cotton Shirt,"Perfect fit and great quality. Very happy with this purchase!",5
P003,White Cotton Shirt,"Collar loses shape after washing. Otherwise decent shirt.",3
P004,Black Leather Jacket,"Looks nothing like the photos. The leather feels fake and cheap.",1
P004,Black Leather Jacket,"Zipper broke after two uses. Terrible quality control.",2
P005,Running Shoes,"Wrong size delivered. Ordered size 9 but received size 8.",1